# IEA (Indian Evidence Act, 1872) -> BSA (Bharatiya Sakshya Adhiniyam, 2023)
# Source: vakilpedia.com/iea-to-bsa-section-list
# old_section | new_section | subject
111A | 115 | Presumption as to certain offences
112 | 116 | Birth during marriage, conclusive proof of legitimacy
113A | 117 | Presumption as to abetment of suicide by a married woman
113B | 118 | Presumption as to dowry death
114 | 119 | Court may presume existence of certain facts
114A | 120 | Presumption as to absence of consent in certain prosecution for rape
115 | 121 | Estoppel
116 | 122 | Estoppel of tenant and of licensee of person in possession
117 | 123 | Estoppel of acceptor of bill of exchange, bailee or licensee
118 | 124 | Who may testify
119 | 125 | Witness unable to communicate verbally
120 | 126 | Competency of husband and wife as witnesses in certain cases
121 | 127 | Judges and Magistrates
122 | 128 | Communications during marriage
123 | 129 | Evidence as to affairs of State
124 | 130 | Official communications
125 | 131 | Information as to commission of offences
126 | 132(1) & (2) | Professional communications
127 | 132(3) | Professional communications to apply interpreters
128 | 133 | Privilege not waived by volunteering evidence
129 | 134 | Confidential communication with legal advisers
130 | 135 | Production of title-deeds of witness not a party
131 | 136 | Production of documents or electronic records which another person could refuse to produce
132 | 137 | Witness not excused from answering on ground that answer will criminate
133 | 138 | Accomplice
134 | 139 | Number of witnesses
135 | 140 | Order of production and examination of witnesses
136 | 141 | Judge to decide as to admissibility of evidence
137 | 142 | Examination of witnesses
138 | 143 | Order of examinations
139 | 144 | Cross-examination of person called to produce a document
140 | 145 | Witnesses to character
141 | 146(1) | Leading questions
142 | 146(2) & (3) | When leading questions must not be asked
143 | 146(4) | When leading questions may be asked
144 | 147 | Evidence as to matters in writing
145 | 148 | Cross-examination as to previous statements in writing
146 | 149 | Questions lawful in cross-examination
147 | 150 | When witness to be compelled to answer
148 | 151 | Court to decide when question shall be asked and when witness compelled to answer
149 | 152 | Question not to be asked without reasonable grounds
150 | 153 | Procedure of Court in case of question being asked without reasonable grounds
151 | 154 | Indecent and scandalous questions
152 | 155 | Questions intended to insult or annoy
153 | 156 | Exclusion of evidence to contradict answers to questions testing veracity
154 | 157 | Question by party to his own witness
155 | 158 | Impeaching credit of witness
156 | 159 | Questions tending to corroborate evidence of relevant fact
157 | 160 | Former statements of witness may be proved to corroborate later testimony
158 | 161 | What matters may be proved in connection with proved statement relevant under section 26 or 27
159 | 162 | Refreshing memory
160 | 163 | Testimony to facts stated in document mentioned in section 162
161 | 164 | Right of adverse party as to writing used to refresh memory
162 | 165 | Production of documents
163 | 166 | Giving, as evidence, of document called for and produced on notice
164 | 167 | Using, as evidence, of document production of which was refused on notice
165 | 168 | Judge's power to put questions or order production
167 | 169 | No new trial for improper admission or rejection of evidence
